,Domain.Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Production in tonnes,Flag,FlagD
371,QC,Crops,100,India,5419,Yield,249,Coconuts,2003,49415,Fc,Calculated data
372,QC,Crops,100,India,5419,Yield,249,Coconuts,2012,55257,Fc,Calculated data
373,QC,Crops,100,India,5419,Yield,249,Coconuts,2007,51770,Fc,Calculated data
374,QC,Crops,100,India,5419,Yield,265,Oils,1994,10847,Fc,Calculated data
375,QC,Crops,100,India,5419,Yield,265,Oils,1995,9886,Fc,Calculated data
376,QC,Crops,100,India,5419,Yield,265,Oils,1996,12189,Fc,Calculated data
377,QC,Crops,100,India,5419,Yield,265,Oils,1997,12925,Fc,Calculated data
378,QC,Crops,100,India,5419,Yield,265,Oils,1998,12312,Fc,Calculated data
379,QC,Crops,100,India,5419,Yield,265,Oils,1999,9788,Fc,Calculated data
380,QC,Crops,100,India,5419,Yield,265,Oils,2000,8176,Fc,Calculated data
381,QC,Crops,100,India,5419,Yield,265,Oils,2001,9107,Fc,Calculated data
382,QC,Crops,100,India,5419,Yield,265,Oils,2002,7341,Fc,Calculated data
383,QC,Crops,100,India,5419,Yield,265,Oils,2003,11108,Fc,Calculated data
384,QC,Crops,100,India,5419,Yield,265,Oils,2004,10678,Fc,Calculated data
385,QC,Crops,100,India,5419,Yield,265,Oils,2005,11464,Fc,Calculated data
386,QC,Crops,100,India,5419,Yield,265,Oils,2006,11925,Fc,Calculated data
387,QC,Crops,100,India,5419,Yield,265,Oils,2007,13380,Fc,Calculated data
388,QC,Crops,100,India,5419,Yield,265,Oils,2008,13520,Fc,Calculated data
389,QC,Crops,100,India,5419,Yield,265,Oils,2009,13730,Fc,Calculated data
390,QC,Crops,100,India,5419,Yield,265,Oils,2010,15260,Fc,Calculated data
391,QC,Crops,100,India,5419,Yield,265,Oils,2011,15602,Fc,Calculated data
392,QC,Crops,100,India,5419,Yield,265,Oils,2012,17108,Fc,Calculated data
393,QC,Crops,100,India,5419,Yield,265,Oils,2013,15000,Fc,Calculated data
394,QC,Crops,100,India,5419,Yield,265,Oils,2014,16663,Fc,Calculated data
395,QC,Crops,100,India,5419,Yield,267,Dry Fruits,1994,6106,Fc,Calculated data
396,QC,Crops,100,India,5419,Yield,267,Dry Fruits,1995,5943,Fc,Calculated data
397,QC,Crops,100,India,5419,Yield,267,Dry Fruits,1996,6477,Fc,Calculated data
398,QC,Crops,100,India,5419,Yield,267,Dry Fruits,1997,5115,Fc,Calculated data
399,QC,Crops,100,India,5419,Yield,267,Dry Fruits,1998,5172,Fc,Calculated data
400,QC,Crops,100,India,5419,Yield,267,Dry Fruits,1999,5385,Fc,Calculated data
401,QC,Crops,100,India,5419,Yield,267,Dry Fruits,2000,6020,Fc,Calculated data
402,QC,Crops,100,India,5419,Yield,267,Dry Fruits,2001,5774,Fc,Calculated data
403,QC,Crops,100,India,5419,Yield,267,Dry Fruits,2002,5314,Fc,Calculated data
404,QC,Crops,100,India,5419,Yield,267,Dry Fruits,2003,4644,Fc,Calculated data
405,QC,Crops,100,India,5419,Yield,267,Dry Fruits,2004,5492,Fc,Calculated data
406,QC,Crops,100,India,5419,Yield,267,Dry Fruits,2005,6151,Fc,Calculated data
407,QC,Crops,100,India,5419,Yield,267,Dry Fruits,2006,5685,Fc,Calculated data
408,QC,Crops,100,India,5419,Yield,267,Dry Fruits,2007,7660,Fc,Calculated data
409,QC,Crops,100,India,5419,Yield,267,Dry Fruits,2008,6388,Fc,Calculated data
410,QC,Crops,100,India,5419,Yield,267,Dry Fruits,2009,5761,Fc,Calculated data
411,QC,Crops,100,India,5419,Yield,267,Dry Fruits,2010,7000,Fc,Calculated data
412,QC,Crops,100,India,5419,Yield,267,Dry Fruits,2011,7082,Fc,Calculated data
413,QC,Crops,100,India,5419,Yield,267,Dry Fruits,2012,6634,Fc,Calculated data
414,QC,Crops,100,India,5419,Yield,267,Dry Fruits,2013,7412,Fc,Calculated data
415,QC,Crops,100,India,5419,Yield,267,Dry Fruits,2014,5685,Fc,Calculated data
416,QC,Crops,100,India,5419,Yield,270,Vegetables,1994,8471,Fc,Calculated data
417,QC,Crops,100,India,5419,Yield,270,Vegetables,1995,9502,Fc,Calculated data
418,QC,Crops,100,India,5419,Yield,270,Vegetables,1996,9165,Fc,Calculated data
419,QC,Crops,100,India,5419,Yield,270,Vegetables,1997,10172,Fc,Calculated data
420,QC,Crops,100,India,5419,Yield,270,Vegetables,1998,6679,Fc,Calculated data
421,QC,Crops,100,India,5419,Yield,270,Vegetables,1999,8696,Fc,Calculated data
422,QC,Crops,100,India,5419,Yield,270,Vegetables,2000,9604,Fc,Calculated data
423,QC,Crops,100,India,5419,Yield,270,Vegetables,2001,9353,Fc,Calculated data
424,QC,Crops,100,India,5419,Yield,270,Vegetables,2002,10019,Fc,Calculated data
425,QC,Crops,100,India,5419,Yield,270,Vegetables,2003,8538,Fc,Calculated data
426,QC,Crops,100,India,5419,Yield,270,Vegetables,2004,11590,Fc,Calculated data
427,QC,Crops,100,India,5419,Yield,270,Vegetables,2005,10378,Fc,Calculated data
428,QC,Crops,100,India,5419,Yield,270,Vegetables,2006,11175,Fc,Calculated data
429,QC,Crops,100,India,5419,Yield,270,Vegetables,2007,10954,Fc,Calculated data
430,QC,Crops,100,India,5419,Yield,270,Vegetables,2008,10007,Fc,Calculated data
431,QC,Crops,100,India,5419,Yield,270,Vegetables,2009,11433,Fc,Calculated data
432,QC,Crops,100,India,5419,Yield,270,Vegetables,2010,11842,Fc,Calculated data
433,QC,Crops,100,India,5419,Yield,270,Vegetables,2011,12571,Fc,Calculated data
434,QC,Crops,100,India,5419,Yield,270,Vegetables,2012,11205,Fc,Calculated data
435,QC,Crops,100,India,5419,Yield,270,Vegetables,2013,12334,Fc,Calculated data
436,QC,Crops,100,India,5419,Yield,270,Vegetables,2014,10940,Fc,Calculated data
437,QC,Crops,100,India,5419,Yield,280,Dry Fruits,1994,6583,Fc,Calculated data
438,QC,Crops,100,India,5419,Yield,280,Dry Fruits,1995,5348,Fc,Calculated data
439,QC,Crops,100,India,5419,Yield,280,Dry Fruits,1996,5604,Fc,Calculated data
440,QC,Crops,100,India,5419,Yield,280,Dry Fruits,1997,6141,Fc,Calculated data
